"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.548480908185008,0.620411255411255
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.534317877186967,0.627900432900433
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.571393293888808,0.668413786092081
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.548924667167962,0.68068282348957
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.55312715769638,0.691747481673669
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.598280566495993,0.672322672569987
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.528398461374551,0.714848484848485
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.570596017114478,0.718679653679654
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.526668464881378,0.719848327023668
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.540050127196865,0.673035091648998
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.508608686428319,0.68482660956012
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.560145805315868,0.677427702032762
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.556704165289727,0.693484848484848
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.546364824109533,0.728311688311688
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.55649955878302,0.686861471861472
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.549902538562418,0.691038961038961
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.558211012918846,0.68956043956044
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.547371412661989,0.69504995004995
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1001,10,"10","PPMI","glmnet",0.420870739628391,0.62881695338103
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1001,10,"10","PPMI","glmnet",0.353694692674225,0.585232070654622
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1111,10,"10","PPMI","glmnet",0.373646451685231,0.616064125951778
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1111,10,"10","PPMI","glmnet",0.396526929613982,0.610900601707862
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1221,10,"10","PPMI","glmnet",0.382158200093408,0.633972038088757
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1221,10,"10","PPMI","glmnet",0.367451267232161,0.580531754944823
