"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.507099852804398,0.676043409107057
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.553454480549346,0.663776578895443
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.546143386021417,0.705993101561543
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.489530327865473,0.669307359307359
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.510494464710504,0.706818181818182
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.541484516495813,0.702357107827158
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.546547268177532,0.699629835099885
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.536354269197184,0.637447007886999
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.513998797340237,0.682706748146739
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.555485508343067,0.699415584415584
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.573302930519348,0.715454545454545
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.511829406086339,0.612402597402597
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.500278038294304,0.651060606060606
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.526165841929064,0.621791541791542
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.452296233203945,0.655854145854146
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"10","RAW","glmnet",0.290337365358247,0.481171579311031
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"10","RAW","glmnet",0.272129726493453,0.483394521840678
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"10","RAW","glmnet",0.284093983520176,0.502731955938823
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"10","RAW","glmnet",0.274616730048638,0.494305735267263
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"10","RAW","glmnet",0.294123281931201,0.518439130516652
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"10","RAW","glmnet",0.286292056673625,0.482525927631684
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"10","RAW","glmnet",0.269329415903833,0.514146924842325
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"10","RAW","glmnet",0.255051534458847,0.486481426202118
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"10","RAW","glmnet",0.303821525706323,0.521936333445939
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"10","RAW","glmnet",0.287420209804962,0.516674730922594
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"10","RAW","glmnet",0.275415495131708,0.50697725239183
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"10","RAW","glmnet",0.267470761477258,0.508092541442191
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"10","RAW","glmnet",0.287490390634291,0.514304489085281
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"10","RAW","glmnet",0.292683451322209,0.531341372616022
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"10","RAW","glmnet",0.285504391434454,0.545482630233365
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"10","RAW","glmnet",0.269341652276151,0.6
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"10","RAW","glmnet",0.287383664826414,0.523933278825701
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"10","RAW","glmnet",0.268733261325628,0.503294010956154
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"10","RAW","glmnet",0.322831509120675,0.512535025881928
"plus","python","Tagged","Aware","all","coha","elastic",210,1991,10,"10","RAW","glmnet",0.267538433193133,0.491153927492938
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.490477658017915,0.704461482292808
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.498356761371213,0.679375937911723
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.499073891444801,0.6351982539269
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.462423018023489,0.639372294372294
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.571421061870642,0.737803443095808
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.504469245611503,0.737803443095808
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.498743490603986,0.675799809946151
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.495157595815461,0.675799809946151
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.480989453251247,0.681087039700946
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.484651407388401,0.678208251822159
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.487711216112374,0.684800845010737
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.504918677541379,0.684800845010737
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"50","RAW","glmnet",0.51051588477016,0.681821048911728
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"50","RAW","glmnet",0.497275676883261,0.657371991655924
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"50","RAW","glmnet",0.577833201481257,0.67534632034632
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"50","RAW","glmnet",0.466110285755327,0.671341991341991
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.508422007727265,0.668852813852814
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"50","RAW","glmnet",0.458072303214318,0.671731601731602
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.514295588724546,0.706806526806527
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"50","RAW","glmnet",0.456590213224982,0.706806526806527
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"50","RAW","glmnet",0.288344255217976,0.496912660255797
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"50","RAW","glmnet",0.267237110397804,0.508629324274737
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"50","RAW","glmnet",0.274201757880256,0.487046447678299
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"50","RAW","glmnet",0.280245707264426,0.492706885919657
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"50","RAW","glmnet",0.282842786192889,0.534738762267081
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"50","RAW","glmnet",0.284837676935884,0.510936727122912
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"50","RAW","glmnet",0.264358045118084,0.498367550087044
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"50","RAW","glmnet",0.271576367635994,0.494972593095665
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"50","RAW","glmnet",0.287495610722884,0.527817993849877
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"50","RAW","glmnet",0.280712827348235,0.535433990230092
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"50","RAW","glmnet",0.285020882885065,0.502071052600426
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"50","RAW","glmnet",0.289780580502355,0.535849804094052
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"50","RAW","glmnet",0.268586967138366,0.534257829491887
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"50","RAW","glmnet",0.302524471377433,0.559432121985646
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"50","RAW","glmnet",0.266299531096597,0.547965053809028
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"50","RAW","glmnet",0.266859989609053,0.531850242404787
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"50","RAW","glmnet",0.270248142551212,0.512707929378339
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"50","RAW","glmnet",0.266562165589274,0.494035154567598
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"50","RAW","glmnet",0.281174343717744,0.519783540930366
"plus","python","Tagged","Aware","all","coha","elastic",210,1991,10,"50","RAW","glmnet",0.267433043570152,0.488206832713077
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.557423588237417,0.759891509157993
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"100","RAW","glmnet",0.534706148693835,0.759891509157993
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.501921507055575,0.624739617518344
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"100","RAW","glmnet",0.46169807159447,0.624502164502165
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.565658845623339,0.700364272915403
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"100","RAW","glmnet",0.487698832458453,0.702840934363171
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.511394852919799,0.661296410999388
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"100","RAW","glmnet",0.482842120611359,0.655474018821014
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.457016271066307,0.691074907965388
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"100","RAW","glmnet",0.517123523045717,0.691074907965388
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.500276555402494,0.703233152763743
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"100","RAW","glmnet",0.517666876828984,0.703233152763743
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.502952360266273,0.660181067849776
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"100","RAW","glmnet",0.491037247496379,0.648017316215434
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.567996572390265,0.650851799557703
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"100","RAW","glmnet",0.463945603147292,0.6403396987887
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"100","RAW","glmnet",0.511434722727028,0.701971477318481
