"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.535129092898459,0.654391501941346
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.538038071068557,0.654175051724896
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.535366751995419,0.652828382048089
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.521990735849313,0.673008921971727
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.512281056419165,0.699242424242424
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.520951392500739,0.678917748917749
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.502103538894158,0.9
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.524004693981014,0.9
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.497223502764443,0.676777857153623
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.538322368341065,0.686637905857613
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.564562797933848,0.715411255411255
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.526020669117325,0.716212121212121
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.53380031967254,0.665606060606061
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.50922743791517,0.665606060606061
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.540773792384508,0.634871794871795
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.491121395201321,0.643055278055278
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"10","PPMI","glmnet",0.345279587137105,0.553737432708131
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"10","PPMI","glmnet",0.307567256609887,0.533825145038902
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"10","PPMI","glmnet",0.297993633130283,0.550081446658562
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"10","PPMI","glmnet",0.341445357331975,0.570258834997744
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"10","PPMI","glmnet",0.290592074600508,0.546521311283858
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"10","PPMI","glmnet",0.311030078753679,0.53398262307376
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"10","PPMI","glmnet",0.294389851743096,0.564373629586962
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"10","PPMI","glmnet",0.332850710246483,0.538408937137975
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"10","PPMI","glmnet",0.365702848988133,0.584334980129133
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"10","PPMI","glmnet",0.327692331058599,0.55911864042868
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"10","PPMI","glmnet",0.299278197273698,0.547175507068693
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"10","PPMI","glmnet",0.32643034432677,0.56217966274133
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"10","PPMI","glmnet",0.321147966524909,0.553106234640543
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"10","PPMI","glmnet",0.337761608481565,0.618382624364857
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"10","PPMI","glmnet",0.313534671505112,0.55177234438365
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"10","PPMI","glmnet",0.288181605297976,0.521109302965051
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"10","PPMI","glmnet",0.343983941984568,0.57406006922306
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"10","PPMI","glmnet",0.323891444116887,0.555088669647403
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"10","PPMI","glmnet",0.379676293721453,0.560193597970484
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"10","PPMI","glmnet",0.307034577043563,0.52415553805245
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"50","PPMI","glmnet",0.540311100679751,0.721972950894458
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"50","PPMI","glmnet",0.512040726966387,0.703791327519973
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"50","PPMI","glmnet",0.456028412251454,0.635974025974026
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"50","PPMI","glmnet",0.466118421189392,0.561731601731602
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"50","PPMI","glmnet",0.567634150849595,0.71284142859296
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"50","PPMI","glmnet",0.509509656791259,0.704775215269844
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.498594841223608,0.663866354627473
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.522875461468644,0.675096430986
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.515215058020493,0.666796536796537
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.495234184996531,0.65993985355376
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.488627353828374,0.66178240267003
