"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","RAW","glmnet",0.487096430637265,0.63504329004329
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.526053013676038,0.679823908144458
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.547709806073682,0.686101952881092
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.554833180475153,0.658362622068525
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.48051967585143,0.702397820782596
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.499123355460043,0.692748917748918
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.560040092858808,0.733203463203463
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.522411458956612,0.693236544710093
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.550432709223431,0.703838339441752
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.55731981211056,0.685705324989257
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.515346114667018,0.690067043965623
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.538031189384214,0.73495670995671
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.535509928899772,0.714891774891775
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.494262657874993,0.650692640692641
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.506177874874204,0.670606060606061
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.550507504509449,0.666896436896437
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.501219308276892,0.684112554112554
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1001,10,"10","RAW","glmnet",0.322927712985513,0.542095619608796
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1001,10,"10","RAW","glmnet",0.295385770225518,0.519492243901519
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1111,10,"10","RAW","glmnet",0.296420193242382,0.540444906453362
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1111,10,"10","RAW","glmnet",0.309370865040125,0.543634592492808
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1221,10,"10","RAW","glmnet",0.316928238578719,0.562395457634654
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1221,10,"10","RAW","glmnet",0.286896871678557,0.491641980047962
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1331,10,"10","RAW","glmnet",0.290169610020185,0.5606099986382
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1331,10,"10","RAW","glmnet",0.282490519847768,0.526409275283726
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1441,10,"10","RAW","glmnet",0.34429777283711,0.545539635379193
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1441,10,"10","RAW","glmnet",0.289625571368697,0.533544015257763
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1551,10,"10","RAW","glmnet",0.30299800204508,0.553221895957713
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1551,10,"10","RAW","glmnet",0.298439547859846,0.537546774895068
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1661,10,"10","RAW","glmnet",0.326856055141468,0.544573825218562
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1661,10,"10","RAW","glmnet",0.304198439268225,0.577894723862074
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1771,10,"10","RAW","glmnet",0.310120105816215,0.534531097007872
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1771,10,"10","RAW","glmnet",0.299074196760327,0.515483455646566
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1881,10,"10","RAW","glmnet",0.32534395750296,0.563668512934671
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1881,10,"10","RAW","glmnet",0.311980212135423,0.527453798898736
"norm","python","UnTagged","Agnostic","all","coha","elastic",211,1991,10,"10","RAW","glmnet",0.354454952996073,0.563430341567586
"plus","python","UnTagged","Agnostic","all","coha","elastic",210,1991,10,"10","RAW","glmnet",0.292439695016049,0.510661084010922
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.518463959474383,0.709844393894475
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.510428632589533,0.692716226509159
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.484652423233785,0.572056277056277
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.48894167192732,0.603398268398268
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.564263921271417,0.67032642197711
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.495919478824469,0.673421660072348
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.48802849391487,0.620112673176321
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.471347804318834,0.659156602348702
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.513796265179548,0.678852813852814
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1441,10,"50","RAW","glmnet",0.500038626469779,0.660497835497835
"norm","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.462410109343511,0.649404761904762
"plus","python","UnTagged","Agnostic","reddy","coha","elastic",89,1551,10,"50","RAW","glmnet",0.511315210121339,0.661904761904762
