"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.618425504416412,0.693050004829144
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"10","RAW","glmnet",0.565184414763488,0.697750170171564
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.639100584437231,0.718748048353108
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"10","RAW","glmnet",0.548465837781712,0.737496326972936
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.596145966897303,0.725800865800866
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"10","RAW","glmnet",0.571962511911684,0.760844155844156
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.570896973923327,0.717926866540773
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"10","RAW","glmnet",0.566648777730804,0.721823991290543
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.544758831579835,0.718459777551034
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"10","RAW","glmnet",0.565530506572927,0.726904531638042
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.602617559011146,0.718030303030303
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"10","RAW","glmnet",0.573748441230017,0.707683982683983
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.55888224640752,0.692186147186147
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"10","RAW","glmnet",0.583072326197917,0.684545454545455
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.567185690585312,0.657475857475858
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"10","RAW","glmnet",0.515601256681256,0.697044622044622
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"10","RAW","glmnet",0.317911172527828,0.554583276064213
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"10","RAW","glmnet",0.294699937755754,0.510818826632755
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"10","RAW","glmnet",0.307673996999642,0.534937267311535
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"10","RAW","glmnet",0.295998627661075,0.51169147826996
"norm","python","UnTagged","Aware","all","coha","elastic",211,1221,10,"10","RAW","glmnet",0.31727097985817,0.571302004273526
"plus","python","UnTagged","Aware","all","coha","elastic",210,1221,10,"10","RAW","glmnet",0.297173499371231,0.502909298349295
"norm","python","UnTagged","Aware","all","coha","elastic",211,1331,10,"10","RAW","glmnet",0.291920687180294,0.566654127997167
"plus","python","UnTagged","Aware","all","coha","elastic",210,1331,10,"10","RAW","glmnet",0.292363031698901,0.522253206618254
"norm","python","UnTagged","Aware","all","coha","elastic",211,1441,10,"10","RAW","glmnet",0.349667122444846,0.567771496782139
"plus","python","UnTagged","Aware","all","coha","elastic",210,1441,10,"10","RAW","glmnet",0.298436240265211,0.547895744459768
"norm","python","UnTagged","Aware","all","coha","elastic",211,1551,10,"10","RAW","glmnet",0.318970301892837,0.542782028083623
"plus","python","UnTagged","Aware","all","coha","elastic",210,1551,10,"10","RAW","glmnet",0.292084706984252,0.535401843299156
"norm","python","UnTagged","Aware","all","coha","elastic",211,1661,10,"10","RAW","glmnet",0.312711504765893,0.568349774334217
"plus","python","UnTagged","Aware","all","coha","elastic",210,1661,10,"10","RAW","glmnet",0.317237823795573,0.618382624364857
"norm","python","UnTagged","Aware","all","coha","elastic",211,1771,10,"10","RAW","glmnet",0.331247495543105,0.580058583640023
"plus","python","UnTagged","Aware","all","coha","elastic",210,1771,10,"10","RAW","glmnet",0.300213345881816,0.525605895757349
"norm","python","UnTagged","Aware","all","coha","elastic",211,1881,10,"10","RAW","glmnet",0.333960898467655,0.564855248659763
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"10","RAW","glmnet",0.289020395830534,0.5321884195503
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"10","RAW","glmnet",0.35121411234592,0.558403576557476
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"10","RAW","glmnet",0.280426308272939,0.502060126847516
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.516391671073207,0.691258859987506
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"50","RAW","glmnet",0.508727266108442,0.67882766229916
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.487354329309273,0.59021645021645
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"50","RAW","glmnet",0.481492132771677,0.62038961038961
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.581676119994033,0.673997609161524
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"50","RAW","glmnet",0.514891325648256,0.673997609161524
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.503604116204195,0.648452116988702
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"50","RAW","glmnet",0.498123391707465,0.655280298536623
