"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"10","PPMI","glmnet",0.469209234129065,0.630714285714286
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.528618272827485,0.636194924258572
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"10","PPMI","glmnet",0.461842741176984,0.642522156099608
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.503170666809413,0.629091173053978
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"10","PPMI","glmnet",0.497795017463863,0.625000263963069
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.438880493598511,0.672402597402597
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"10","PPMI","glmnet",0.510102109480761,0.665735930735931
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.448466853929483,0.651363478538819
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"10","PPMI","glmnet",0.486140980194219,0.651363478538819
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.48047561662497,0.627998708824053
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"10","PPMI","glmnet",0.475224581003913,0.627674033499377
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.510033913459921,0.704588744588745
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"10","PPMI","glmnet",0.493361518556453,0.704588744588745
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.51027540222707,0.613268398268398
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"10","PPMI","glmnet",0.484285040426045,0.63517316017316
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.541429653704028,0.624455544455545
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"10","PPMI","glmnet",0.452026444143894,0.624455544455545
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"10","PPMI","glmnet",0.35474991969214,0.554539854714446
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"10","PPMI","glmnet",0.309226789785252,0.538581715033592
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"10","PPMI","glmnet",0.328074880804428,0.570557563684079
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"10","PPMI","glmnet",0.329705237923988,0.555825853411367
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"10","PPMI","glmnet",0.327264030977993,0.593177800021909
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"10","PPMI","glmnet",0.313272564893651,0.540463864435558
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"10","PPMI","glmnet",0.324785636175426,0.578808822762702
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1331,10,"10","PPMI","glmnet",0.325653439528769,0.529981957697777
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1441,10,"10","PPMI","glmnet",0.346374340950137,0.595282564937632
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1441,10,"10","PPMI","glmnet",0.340450692884967,0.543039234618036
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1551,10,"10","PPMI","glmnet",0.325922417495725,0.560877737643341
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1551,10,"10","PPMI","glmnet",0.319614502162712,0.555770505071408
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1661,10,"10","PPMI","glmnet",0.362678994670102,0.56772434504284
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1661,10,"10","PPMI","glmnet",0.344392083699744,0.577739849778762
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1771,10,"10","PPMI","glmnet",0.348749763980863,0.591589379923983
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1771,10,"10","PPMI","glmnet",0.304709345867571,0.538227284019537
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1881,10,"10","PPMI","glmnet",0.359299256105488,0.600983702525568
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1881,10,"10","PPMI","glmnet",0.34948456408856,0.58855456849595
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1991,10,"10","PPMI","glmnet",0.405911359848158,0.596028661203477
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1991,10,"10","PPMI","glmnet",0.327336533303579,0.554687164398875
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"50","PPMI","glmnet",0.481029840769416,0.655406039743389
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1001,10,"50","PPMI","glmnet",0.475574369081172,0.655406039743389
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"50","PPMI","glmnet",0.457520911112601,0.614858888844683
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1111,10,"50","PPMI","glmnet",0.465963976740219,0.597077922077922
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"50","PPMI","glmnet",0.568407467557211,0.708171902693562
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1221,10,"50","PPMI","glmnet",0.489933882220672,0.708171902693562
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.498255252900315,0.626280751768557
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"50","PPMI","glmnet",0.464330911716703,0.621263911447001
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.452799289537527,0.675294523189147
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"50","PPMI","glmnet",0.462664063415296,0.662294372294372
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.453217818679983,0.744426406926407
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"50","PPMI","glmnet",0.536213702525092,0.746699134199134
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"50","PPMI","glmnet",0.479741162361323,0.65365066260388
